income,name_email_similarity,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,balance_to_income_ratio
0.1,0.13789239,35.0,30,0.013436796,102.3108618,AA,1430,14640.23604,7229.426471,6345.828276,550,15,CD,119,0,BD,1,0,1.0,1,200,0,INTERNET,3.493732749,other,0,1.0,1023.108618
0.1,0.714302287,372.0,70,71.22198205,30.93166977,AA,1294,1271.533604,7163.675108,6438.744877,2024,1,CB,162,0,BA,0,1,5.0,0,1500,1,INTERNET,27.6621307,linux,1,1.0,309.31669769999996
0.1,0.792326324,369.0,60,0.011980134,100.5479838,AA,703,3962.51054,3389.82016,3688.942408,16,1,CB,320,0,BA,1,0,1.0,1,510,1,INTERNET,2.334478325,windows,0,1.0,1005.479838
0.1,0.999735283,297.0,60,0.026008525,102.7871426,AA,5059,7104.014719,5806.861064,6779.94547,1831,6,CC,46,1,BB,0,0,1.0,0,200,0,INTERNET,9.164826675,windows,0,1.0,1027.871426
0.1,0.764116159,352.0,60,19.9849863,45.44103363,AA,1197,2382.415649,2969.159625,4204.900978,1385,1,CB,131,1,BD,1,1,9.0,0,500,0,TELEAPP,10.0262458,other,1,1.0,454.4103363
0.1,0.835546517,368.0,20,72.79662461,-1.586651594,AC,1220,3771.180491,4225.885436,3829.15614,0,13,CD,14,1,BE,0,1,,1,200,0,TELEAPP,,other,0,0.0,-15.866515940000001
0.2,0.261738087,357.0,40,2.556692823,-1.686637315,AC,1291,8133.352076,7121.404525,4900.711976,1,13,CD,127,0,BA,1,0,,1,200,0,TELEAPP,,other,0,0.0,-8.433186574999999
0.1,0.247071299,256.0,50,13.84315358,21.24322288,AA,3770,10415.47241,6803.029508,4936.522742,802,3,CD,63,1,BD,1,0,30.0,1,200,0,INTERNET,4.895744369,linux,1,0.0,212.4322288
0.1,0.790556789,213.0,50,0.014653605,49.12886347,AA,3970,8423.296149,3021.921047,6285.492903,7,1,CB,99,1,BE,1,0,22.0,1,200,1,INTERNET,9.499618748,windows,1,1.0,491.2886347
0.8,0.880877234,316.0,20,24.15869826,106.2255159,AA,3660,11655.52099,4151.496051,5480.387798,2,13,CF,95,1,BB,1,1,,1,200,1,INTERNET,51.74858825,windows,1,1.0,132.781894875
0.1,0.074949151,4.0,60,71.46518251,-1.632877448,AC,1226,4051.130858,5573.047095,4671.455909,11,0,CB,97,0,BB,1,0,5.0,0,200,1,INTERNET,16.7157986,linux,0,2.0,-16.328774479999996
0.1,0.692621345,82.0,50,0.007670031,98.55615082,AD,666,11085.7224,7393.410801,6718.969162,22,5,CD,196,1,BB,0,1,20.0,0,1000,1,INTERNET,5.328532767,windows,0,1.0,985.5615081999999
0.1,0.51414031,331.0,20,0.017207324,49.34004182,AA,1062,8321.2342,5548.883971,4264.819133,1370,8,CD,216,0,BE,1,0,2.0,1,200,1,INTERNET,5.977908968,linux,0,1.0,493.4004182
0.2,0.726393265,51.0,50,0.002200609,97.83218013,AD,5086,9985.366883,6683.809397,6863.086507,14,11,CF,26,1,BB,0,0,6.0,0,200,1,INTERNET,6.476459583,windows,0,1.0,489.16090065
0.1,0.017663076,32.0,60,15.14281156,36.10066345,AA,1325,1521.186135,6064.668213,5104.038431,1,11,CC,117,1,BC,1,0,,0,200,1,INTERNET,1.577824311,linux,1,2.0,361.00663449999996
0.1,0.285829322,371.0,50,0.006701344,109.3034271,AA,519,11405.49593,6580.836802,5064.169835,9,7,CC,203,1,BC,1,0,10.0,1,1500,0,INTERNET,26.61306214,other,0,1.0,1093.0342709999998
0.1,0.922961602,367.0,50,0.022782852,101.9660878,AA,4840,1175.469978,3005.091733,5054.037839,1338,0,CC,174,1,BB,1,0,28.0,0,500,0,INTERNET,5.342590028,linux,1,1.0,1019.6608779999999
0.2,0.038368649,60.0,60,0.005351112,105.5216395,AA,5282,7757.570324,2918.452596,6335.348336,1,2,CC,346,0,BC,1,0,28.0,0,1500,0,INTERNET,12.56500809,linux,1,1.0,527.6081975
0.1,0.637067872,367.0,70,22.60464075,-0.750444161,AC,1181,8115.890816,7412.735188,4908.870162,0,3,CC,25,0,BC,1,0,,0,500,0,TELEAPP,,other,0,0.0,-7.50444161
0.1,0.071050637,18.0,50,1.208620107,12.74189509,AA,2062,7113.584131,4544.83304,4693.608731,1,3,CC,204,1,BC,1,0,30.0,1,500,0,TELEAPP,,other,0,0.0,127.4189509
